Lieu;Espece;Cd_muscle;Cd_foie
Port;Pinctada_maculata;50,8;500
Port;Pinctada_maculata;32,7;353
Port;Pinctada_maculata;41,7;436
Port;Pinctada_maculata;47,9;503
Port;Pinctada_maculata;48,1;450
Port;Pinctada_maculata;45,2;463
Port;Pinctada_maculata;40,4;425
Port;Pinctada_maculata;38,4;370
Port;Pinctada_maculata;39,2;411
Port;Pinctada_maculata;52,3;583
Port;Pinctada_maculata;34,1;367
Port;Pinctada_maculata;41,5;435
Port;Pinctada_margaritifera;5,83;64
Port;Pinctada_margaritifera;7,25;80
Port;Pinctada_margaritifera;5,62;47
Port;Pinctada_margaritifera;6,71;73
Port;Pinctada_margaritifera;4,95;55
Port;Pinctada_margaritifera;7,37;80
Port;Pinctada_margaritifera;5,35;59
Port;Pinctada_margaritifera;6;60
Vairao;Pinctada_maculata;30,1;310
Vairao;Pinctada_maculata;23,4;250
Vairao;Pinctada_maculata;22,6;236
Vairao;Pinctada_maculata;19,8;210
Vairao;Pinctada_maculata;32,6;340
Vairao;Pinctada_maculata;28,9;303
Vairao;Pinctada_maculata;26,3;280
Vairao;Pinctada_maculata;34,5;370
Vairao;Pinctada_maculata;28,4;301
Vairao;Pinctada_margaritifera;5,15;57
Vairao;Pinctada_margaritifera;6,63;72
Vairao;Pinctada_margaritifera;6,4;75
Vairao;Pinctada_margaritifera;5,22;57
Vairao;Pinctada_margaritifera;4,32;55
Vairao;Pinctada_margaritifera;6,3;75
Vairao;Pinctada_margaritifera;5,2;52
Vairao;Pinctada_margaritifera;10,2;93
Vairao;Pinctada_margaritifera;7,37;83
Vairao;Pinctada_margaritifera;8,1;75
Vairao;Pinctada_margaritifera;6,2;72
